"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","postal.code","distance_km","started_hour","time_block","day_of_week","weekend_or_weekday"
"23",374,2022-01-01 00:09:39.837,2022-01-01 00:15:53.895,10,"B.U. Central - 725 Comm. Ave.",42.350406,-71.108279,41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,4360,"Subscriber","02134",1.29599202932589,0,"Night","Saturday","Weekend"
"24",633,2022-01-01 00:10:03.684,2022-01-01 00:20:37.288,81,"Chinatown T Stop",42.352409,-71.062679,81,"Chinatown T Stop",42.352409,-71.062679,5227,"Subscriber","02116",0,0,"Night","Saturday","Weekend"
"25",357,2022-01-01 00:10:15.203,2022-01-01 00:16:12.543,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,318,"Ames St at Broadway",42.3636929,-71.0875672,7361,"Subscriber","02139",1.21873308951691,0,"Night","Saturday","Weekend"
"26",1572,2022-01-01 00:10:44.313,2022-01-01 00:36:56.651,332,"Harvard Ave at Brainerd Rd",42.3495301689037,-71.1302277074173,372,"Boylston St at Exeter St",42.3495894236824,-71.0794677917329,6230,"Subscriber","02134",4.17604991573383,0,"Night","Saturday","Weekend"
"27",463,2022-01-01 00:10:46.715,2022-01-01 00:18:30.167,328,"Grove St at Community Path",42.396386809455,-71.1201130600602,407,"Craigie at Summer St",42.3835013009166,-71.1080897529155,4880,"Customer","NULL",1.74204323267235,0,"Night","Saturday","Weekend"
"28",686,2022-01-01 00:11:52.903,2022-01-01 00:23:19.579,233,"St Mary's",42.3461970765555,-71.1072868108749,69,"Coolidge Corner - Beacon St at Centre St",42.341598,-71.123338,5220,"Subscriber","02446",1.41642131813569,0,"Night","Saturday","Weekend"
"29",740,2022-01-01 00:12:17.504,2022-01-01 00:24:38.181,233,"St Mary's",42.3461970765555,-71.1072868108749,69,"Coolidge Corner - Beacon St at Centre St",42.341598,-71.123338,7340,"Subscriber","02446",1.41642131813569,0,"Night","Saturday","Weekend"
"30",1172,2022-01-01 00:13:37.256,2022-01-01 00:33:09.599,176,"Lesley University",42.3867480204506,-71.1190187931061,376,"Honan Library",42.3602737045493,-71.1285245232739,2534,"Subscriber","02135",3.04902679868421,0,"Night","Saturday","Weekend"
"31",491,2022-01-01 00:15:34.476,2022-01-01 00:23:46.321,55,"Boylston St at Massachusetts Ave",42.3474062052521,-71.0867841495565,4,"Tremont St at E Berkeley St",42.345392,-71.069616,6263,"Subscriber","02190",1.43018925050912,0,"Night","Saturday","Weekend"
"32",338,2022-01-01 00:16:00.826,2022-01-01 00:21:39.717,80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.0911560058594,437,"Berkshire Street at Cambridge Street",42.372076579154,-71.0899543390587,6871,"Subscriber","02141",1.11151351711346,0,"Night","Saturday","Weekend"
"33",476,2022-01-01 00:16:07.52,2022-01-01 00:24:04.292,12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.3362444479688,-71.0879856348038,30,"Brigham Circle - Francis St at Huntington Ave",42.3346289305598,-71.1040791776759,2764,"Subscriber","06492",1.33647658543079,0,"Night","Saturday","Weekend"
"34",1657,2022-01-01 00:16:54.829,2022-01-01 00:44:32.664,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,6032,"Subscriber","02140",3.19504160274371,0,"Night","Saturday","Weekend"
"35",1317,2022-01-01 00:17:06.393,2022-01-01 00:39:04.162,32,"Landmark Center - Brookline Ave at Park Dr",42.3436905571975,-71.1023528688111,179,"MIT Vassar St",42.3556012132793,-71.1039447784424,4444,"Subscriber","02139",1.33234072568356,0,"Night","Saturday","Weekend"
"36",1287,2022-01-01 00:17:14.373,2022-01-01 00:38:41.417,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,65,"Boston Convention and Exhibition Center - Summer St at West Side Dr",42.3477634541475,-71.0453599691391,5030,"Subscriber","02141",5.12562841008867,0,"Night","Saturday","Weekend"
"37",4560,2022-01-01 00:18:04.537,2022-01-01 01:34:04.906,202,"Grove Hall Library - 41 Geneva Ave",42.30791,-71.080952,162,"Franklin Park - Seaver St at Humboldt Ave",42.309796,-71.092225,7504,"Subscriber","02121",0.951487864836353,0,"Night","Saturday","Weekend"
"38",905,2022-01-01 00:18:09.802,2022-01-01 00:33:15.593,54,"Tremont St at West St",42.354979,-71.063348,189,"Kendall T",42.3624278429124,-71.0849547386169,5862,"Subscriber","02142",1.96125191902059,0,"Night","Saturday","Weekend"
"39",855,2022-01-01 00:18:23.179,2022-01-01 00:32:39.106,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,413,"Kennedy-Longfellow School 158 Spring St",42.3695529775651,-71.0857901498093,5104,"Subscriber","02139",1.6913021710504,0,"Night","Saturday","Weekend"
"40",622,2022-01-01 00:18:47.444,2022-01-01 00:29:10.271,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,4923,"Subscriber","02139",2.08447770929696,0,"Night","Saturday","Weekend"
"41",1227,2022-01-01 00:19:36.258,2022-01-01 00:40:03.385,39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,3708,"Customer",NA,3.80181895107484,0,"Night","Saturday","Weekend"
"42",724,2022-01-01 00:19:46.622,2022-01-01 00:31:51.613,80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.0911560058594,553,"Cambridge Crossing at North First Street",42.371141,-71.076198,6094,"Subscriber","02141",1.58729158319367,0,"Night","Saturday","Weekend"
